"","TRM","location","cycleTime","residueCost","year","harvest_ha","mean_merch_volume","adj_vol","res_dec","res_con","res_total","adj_factor","unadj_harvest_vol","harvest_vol","residue_odmt","residue.cumsum"
"1",60125,"Whitecourt",1.48612888888889,62.1072750448343,1990,8.19407667618677,137.22803958,380.1216696366,7.7396527271286,7.7396527271286,27.4514813763482,0.0722176175922623,1124.45707844131,3114.74610728244,224.939543272711,224.939543272711
"2",59125,"Whitecourt",1.49647925833333,62.2501010638962,1990,10.6110173957303,137.72675913,381.5031227901,10.0893585934675,10.0893585934675,25.983012072636,0.0681069446630235,1461.42103698599,4048.13627245119,275.706193096211,500.645736368922
"3",59115,"Whitecourt",1.5600405,63.1271904434211,1990,1.30342749735804,133.33856041,369.3478123357,8.7443444347482,8.7443444347482,25.84656848376,0.0699789402306466,173.797146096531,481.41809468739,33.6891280740806,534.334864443002
"4",60135,"Whitecourt",1.6352705,64.165298452193,1990,4.84234931833032,117.79744097,326.2989114869,4.34051940390377,4.34051940390377,20.5457966782382,0.0629661820954712,570.416357982136,1580.05331161052,99.4899245394201,633.824788982422
"5",62125,"Whitecourt",1.84912880555556,67.1163554738548,1990,333.122636992182,132.83527991,367.9537253507,3.99782430551907,3.99782430551907,24.5383456714842,0.0666886730066302,44250.4387292138,122573.715279922,8174.27841751053,8808.10320649295
"6",60145,"Whitecourt",1.85502444444444,67.1977101189084,1990,0.0931192705159514,124.25377839,344.1829661403,2.85412438807588,2.85412438807588,23.3969949842197,0.06797836408523,11.5704212025275,32.0500667310011,2.17871110519591,8810.28191759815
"7",59105,"Whitecourt",1.9360285,68.315495029386,1990,16.7511972968209,150.38469321,416.5656001917,10.0713229307052,10.0713229307052,26.5093702255823,0.0636379245270922,2519.12366638259,6977.97255587978,444.063690863198,9254.34560846135
"8",59135,"Whitecourt",1.95862155555556,68.6272593775828,1990,1.20997459334244,144.20136403,399.4377783631,9.60087378593682,9.60087378593682,27.8548628850534,0.0697351737715017,174.479986801624,483.309563440499,33.7036763919519,9288.0492848533
"9",58135,"Whitecourt",1.95990480555556,68.6449671019249,1990,56.561010024444,129.38121474,358.3859648298,8.84060694333153,8.84060694333153,24.8391342523999,0.0693083342819972,7317.93218388389,20270.6721493584,1404.9265214485,10692.9758063018
"10",61155,"Whitecourt",1.97872977777778,68.9047352054581,1990,0.186325300739421,115.27719966,319.3178430582,2.68059291964365,2.68059291964365,24.0203775125243,0.0752240378504195,21.4790588950477,59.4969931392822,4.47560406389551,10697.4514103657
"11",62115,"Whitecourt",2.03402577777778,69.6677715001949,1990,294.286988113678,138.38551583,383.3278788491,4.7720180890325,4.7720180890325,24.5848331565357,0.0641352599512171,40725.0566521684,112808.406926507,7234.99650291418,17932.4479132799
"12",58105,"Whitecourt",2.08172430555556,70.3259693427144,1990,29.8698315063063,142.62643654,395.0752292158,11.6162844409171,11.6162844409171,26.1183760080098,0.0661098800343751,4260.22762779468,11800.8305289913,780.151490577605,18712.5994038575
"13",60155,"Whitecourt",2.09883311111111,70.5620558516569,1990,0.0931185209663758,125.26612157,346.9871567489,2.86507746561519,2.86507746561519,23.5999256491575,0.0680138304549288,11.6645959677926,32.3109308307856,2.19759017136598,18714.7969940288
"14",63115,"Whitecourt",2.13647411111111,71.0814686332359,1990,134.923036231548,102.94386752,285.1545130304,2.29947531176116,2.29947531176116,23.3176009608631,0.0817718110545115,13889.4991672166,38473.91269319,3146.0815192753,21860.8785133041
"15",61135,"Whitecourt",2.17960233333333,71.6766002681287,1990,13.5090259430466,131.38577592,363.9385992984,4.69963715774477,4.69963715774477,23.0574668489413,0.0633553761359511,1774.89385545059,4916.45597959812,311.483917843285,22172.3624311474
"16",61115,"Whitecourt",2.18765027777778,71.7876548418616,1990,0.186307130541193,146.22886422,405.0539538894,4.8774423859652,4.8774423859652,26.2548771379828,0.0648182220809816,27.2434800951259,75.4644398634988,4.89147082228914,22177.2539019697
"17",62155,"Whitecourt",2.20669955555556,72.0505181653022,1990,0.279624731133404,141.08349894,390.8012920638,5.35980787311278,5.35980787311278,24.493495412488,0.0626750625187015,39.4504354584573,109.277706219927,6.84898706923421,22184.102889039
"18",58115,"Whitecourt",2.22337138888889,72.2805748408869,1990,0.279043723809038,146.82485446,406.7048468542,12.8995013982283,12.8995013982283,26.2513614338996,0.0645464681253491,40.9705541362385,113.488434957381,7.32527764957233,22191.4281666885
"19",58095,"Whitecourt",2.24202311111111,72.5379522463938,1990,1.86090095992946,113.01156167,313.0420258259,5.26678058286789,5.26678058286789,27.4023800456854,0.0875357868432828,210.30332359483,582.54020635768,50.9931153313679,22242.4212820199
"20",58125,"Whitecourt",2.27810811111111,73.035893592885,1990,0.0930320250023645,168.75625281,467.4548202837,14.8314063317403,14.8314063317403,30.1691212070672,0.0645391167188252,15.6997359307253,43.488268528109,2.80669443843524,22245.2279764583
"21",63125,"Whitecourt",2.28152338888889,73.0830214303606,1990,23.218232593385,122.09847236,338.2127684372,1.18380928464946,1.18380928464946,30.8193898655844,0.0911242647874988,2834.91073055147,7852.70272362756,715.571762285351,22960.7997387437
"22",58145,"Whitecourt",2.31079613888889,73.4869597025097,1990,188.943853739351,161.71118504,447.9399825608,9.73634793856944,9.73634793856944,24.4255622629705,0.0545286494037293,30554.3344942149,84635.5065489754,4615.05986371611,27575.8596024598
